Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
24.09.2021;3.832,10;3.834,00;3.867,19;3.832,00;2,02K;0,01%
23.09.2021;3.831,53;3.833,00;3.841,70;3.827,64;1,41K;0,03%
22.09.2021;3.830,53;3.837,25;3.841,74;3.822,50;1,54K;-0,11%
21.09.2021;3.834,78;3.844,00;3.849,70;3.835,00;1,21K;-0,18%
20.09.2021;3.841,53;3.827,50;3.862,00;3.824,68;1,46K;0,43%
17.09.2021;3.825,03;3.817,17;3.839,30;3.811,76;1,34K;0,27%
16.09.2021;3.814,70;3.815,00;3.829,32;3.803,46;1,20K;0,06%
15.09.2021;3.812,53;3.830,49;3.837,09;3.807,19;0,96K;-0,40%
14.09.2021;3.828,02;3.830,60;3.837,73;3.816,83;1,05K;0,00%
13.09.2021;3.828,13;3.835,00;3.843,48;3.822,59;0,98K;-0,11%
10.09.2021;3.832,53;3.843,70;3.846,42;3.825,93;1,21K;-0,23%
09.09.2021;3.841,23;3.816,55;3.844,08;3.811,35;0,91K;0,71%
08.09.2021;3.814,08;3.800,00;3.824,59;3.798,20;0,97K;0,44%
07.09.2021;3.797,53;3.800,00;3.820,98;3.795,51;1,20K;0,00%
06.09.2021;3.797,53;3.800,00;3.800,00;3.800,00;;0,00%
03.09.2021;3.797,53;3.795,00;3.809,33;3.773,00;1,19K;0,13%
02.09.2021;3.792,53;3.760,00;3.801,97;3.755,54;1,10K;0,93%
01.09.2021;3.757,53;3.769,15;3.777,64;3.738,90;1,39K;-0,24%
31.08.2021;3.766,68;3.816,75;3.819,88;3.761,50;1,37K;-1,21%
30.08.2021;3.812,65;3.829,01;3.836,58;3.796,95;1,07K;-0,32%
27.08.2021;3.824,91;3.867,75;3.867,75;3.822,23;0,98K;-1,06%
26.08.2021;3.865,75;3.865,50;3.880,00;3.861,45;1,26K;0,06%
25.08.2021;3.863,50;3.867,00;3.877,26;3.853,16;1,26K;-0,04%
24.08.2021;3.865,00;3.881,95;3.881,95;3.849,60;1,50K;-0,39%
23.08.2021;3.879,95;3.872,00;3.882,84;3.847,00;1,18K;0,26%
20.08.2021;3.870,00;3.870,40;3.889,00;3.863,65;1,36K;0,09%
19.08.2021;3.866,40;3.851,50;3.892,00;3.848,28;1,24K;0,49%
18.08.2021;3.847,50;3.880,00;3.886,65;3.847,23;1,20K;-0,74%
17.08.2021;3.876,00;3.842,20;3.885,00;3.840,75;0,88K;0,98%
16.08.2021;3.838,20;3.842,20;3.854,45;3.838,88;0,49K;0,00%
13.08.2021;3.838,20;3.859,00;3.859,00;3.813,50;0,99K;-0,44%
12.08.2021;3.855,00;3.942,20;3.953,93;3.848,01;1,28K;-2,11%
11.08.2021;3.938,20;3.968,00;3.971,94;3.940,80;3,90K;-0,65%
10.08.2021;3.964,00;3.997,35;4.009,14;3.960,05;1,24K;-0,73%
09.08.2021;3.993,35;3.967,10;4.002,41;3.956,64;0,95K;0,76%
06.08.2021;3.963,10;3.918,00;3.976,07;3.907,32;1,51K;1,25%
05.08.2021;3.914,00;3.903,00;3.923,12;3.895,00;1,52K;0,38%
04.08.2021;3.899,00;3.909,75;3.924,78;3.888,30;1,35K;-0,17%
03.08.2021;3.905,75;3.891,50;3.926,09;3.886,00;3,85K;0,47%
02.08.2021;3.887,50;3.878,00;3.895,78;3.835,27;4,42K;0,35%
30.07.2021;3.874,00;3.847,60;3.886,14;3.841,65;3,70K;0,79%
29.07.2021;3.843,60;3.873,50;3.877,42;3.826,95;4,06K;-0,62%
28.07.2021;3.867,50;3.932,00;3.936,90;3.873,00;3,24K;-1,54%
27.07.2021;3.928,00;3.913,50;3.939,70;3.897,00;1,09K;0,47%
26.07.2021;3.909,50;3.889,00;3.917,81;3.889,00;4,45K;0,63%
23.07.2021;3.885,00;3.870,20;3.890,00;3.857,18;3,17K;0,49%
22.07.2021;3.866,20;3.855,00;3.879,34;3.847,43;5,54K;0,39%
21.07.2021;3.851,00;3.835,50;3.872,05;3.835,50;4,36K;0,51%
20.07.2021;3.831,50;3.835,50;3.848,58;3.833,77;2,96K;0,00%
19.07.2021;3.831,50;3.817,60;3.858,35;3.817,60;2,97K;0,47%
16.07.2021;3.813,60;3.816,02;3.821,33;3.797,94;3,26K;0,04%
15.07.2021;3.812,02;3.794,02;3.820,02;3.793,26;4,97K;0,58%
14.07.2021;3.790,02;3.823,20;3.823,20;3.786,90;5,46K;-0,76%
13.07.2021;3.819,20;3.822,10;3.836,95;3.812,90;0,88K;0,03%
12.07.2021;3.818,10;3.831,00;3.840,50;3.814,50;4,44K;-0,23%
09.07.2021;3.827,00;3.841,00;3.846,72;3.812,05;0,81K;-0,26%
08.07.2021;3.837,00;3.832,00;3.864,50;3.830,88;4,42K;0,24%
07.07.2021;3.828,00;3.779,50;3.834,72;3.773,48;3,36K;1,39%
06.07.2021;3.775,50;3.742,00;3.800,00;3.739,89;1,06K;0,98%
05.07.2021;3.739,00;3.742,00;3.742,00;3.742,00;;0,00%
02.07.2021;3.739,00;3.778,00;3.799,00;3.742,00;0,50K;-0,98%
01.07.2021;3.776,00;3.750,00;3.793,00;3.725,80;4,17K;0,77%
30.06.2021;3.747,00;3.767,50;3.774,80;3.728,80;4,72K;-0,46%
29.06.2021;3.764,50;3.703,00;3.777,00;3.703,00;4,40K;1,74%
28.06.2021;3.700,00;3.745,15;3.754,08;3.702,80;6,15K;-1,13%
25.06.2021;3.742,15;3.766,25;3.774,00;3.724,23;3,53K;-0,56%
24.06.2021;3.763,25;3.784,05;3.784,05;3.753,50;4,47K;-0,47%
23.06.2021;3.781,05;3.782,10;3.789,99;3.749,35;1,16K;0,05%
22.06.2021;3.779,10;3.760,05;3.798,00;3.759,10;1,04K;0,59%
21.06.2021;3.757,05;3.769,00;3.769,00;3.740,00;0,87K;-0,24%
18.06.2021;3.766,00;3.729,00;3.769,50;3.724,69;4,53K;1,07%
17.06.2021;3.726,00;3.674,00;3.739,00;3.674,00;1,19K;1,48%
16.06.2021;3.671,75;3.698,00;3.705,22;3.674,00;3,43K;-0,65%
15.06.2021;3.695,75;3.654,50;3.705,95;3.654,50;0,67K;1,19%
14.06.2021;3.652,25;3.654,50;3.660,00;3.644,09;2,46K;0,00%
11.06.2021;3.652,25;3.606,00;3.657,50;3.591,90;3,91K;1,35%
10.06.2021;3.603,75;3.588,93;3.609,00;3.578,50;4,03K;0,47%
09.06.2021;3.586,93;3.594,60;3.599,28;3.573,00;4,49K;-0,15%
08.06.2021;3.592,35;3.607,50;3.613,19;3.584,26;4,76K;-0,36%
07.06.2021;3.605,25;3.607,50;3.615,11;3.600,74;2,81K;0,00%
04.06.2021;3.605,25;3.661,00;3.661,36;3.593,60;5,76K;-1,46%
03.06.2021;3.658,75;3.653,50;3.673,00;3.642,00;5,60K;0,21%
02.06.2021;3.651,25;3.666,30;3.666,30;3.624,95;4,60K;-0,35%
01.06.2021;3.664,05;3.708,00;3.708,00;3.662,30;4,80K;-1,13%
31.05.2021;3.705,75;3.708,00;3.709,61;3.705,38;0,42K;0,00%
28.05.2021;3.705,75;3.721,71;3.733,75;3.703,19;3,74K;-0,37%
27.05.2021;3.719,46;3.743,00;3.747,20;3.721,71;4,51K;-0,57%
26.05.2021;3.740,75;3.739,50;3.760,00;3.733,47;4,84K;0,09%
25.05.2021;3.737,25;3.734,50;3.747,00;3.720,91;4,27K;0,13%
24.05.2021;3.732,25;3.747,00;3.768,80;3.732,00;4,50K;-0,33%
21.05.2021;3.744,75;3.718,80;3.753,70;3.708,00;3,40K;0,80%
20.05.2021;3.715,05;3.684,95;3.748,00;3.681,26;5,25K;0,86%
19.05.2021;3.683,45;3.660,00;3.695,00;3.656,34;5,11K;0,87%
18.05.2021;3.651,56;3.685,50;3.686,09;3.643,35;5,62K;-0,85%
17.05.2021;3.682,88;3.685,50;3.689,25;3.679,49;3,11K;0,00%
14.05.2021;3.682,88;3.721,10;3.725,64;3.668,00;4,97K;-0,96%
13.05.2021;3.718,48;3.750,50;3.753,75;3.711,50;2,46K;-0,78%
12.05.2021;3.747,88;3.712,00;3.753,00;3.704,93;5,39K;1,04%
11.05.2021;3.709,38;3.706,80;3.728,80;3.684,00;4,39K;0,14%
10.05.2021;3.704,18;3.750,00;3.756,57;3.703,64;4,79K;-1,15%
07.05.2021;3.747,38;3.804,00;3.805,07;3.749,73;5,33K;-1,42%
06.05.2021;3.801,38;3.851,00;3.860,17;3.776,89;5,02K;-1,22%
05.05.2021;3.848,38;3.829,50;3.866,75;3.812,50;5,29K;0,59%
04.05.2021;3.825,75;3.804,95;3.846,00;3.800,56;5,26K;0,62%
03.05.2021;3.802,00;3.753,30;3.834,00;3.745,10;4,06K;1,35%
30.04.2021;3.751,43;3.715,10;3.759,05;3.709,59;4,42K;1,03%
29.04.2021;3.713,23;3.696,00;3.728,13;3.689,16;4,45K;0,52%
28.04.2021;3.694,13;3.718,25;3.723,57;3.691,35;5,21K;-0,59%
27.04.2021;3.716,00;3.695,00;3.738,10;3.679,27;4,68K;0,62%
26.04.2021;3.693,13;3.628,50;3.696,00;3.626,49;5,26K;1,82%
23.04.2021;3.627,00;3.635,35;3.651,60;3.624,00;4,65K;-0,19%
22.04.2021;3.633,85;3.614,00;3.643,60;3.597,00;5,26K;0,59%
21.04.2021;3.612,50;3.643,00;3.653,90;3.612,00;4,15K;-0,80%
20.04.2021;3.641,50;3.627,00;3.645,40;3.620,61;3,74K;0,44%
19.04.2021;3.625,50;3.603,00;3.630,80;3.593,21;3,80K;0,66%
16.04.2021;3.601,88;3.612,00;3.622,17;3.587,55;4,45K;-0,24%
15.04.2021;3.610,50;3.656,80;3.656,80;3.604,70;4,04K;-1,23%
14.04.2021;3.655,30;3.668,50;3.682,79;3.652,30;5,32K;-0,32%
13.04.2021;3.667,00;3.665,00;3.676,70;3.656,50;4,58K;0,10%
12.04.2021;3.663,50;3.659,50;3.666,50;3.638,02;4,24K;0,15%
09.04.2021;3.658,00;3.629,05;3.662,50;3.629,05;4,64K;0,84%
08.04.2021;3.627,55;3.654,59;3.656,89;3.626,03;4,85K;-0,70%
07.04.2021;3.653,09;3.636,50;3.662,50;3.616,70;5,57K;0,49%
06.04.2021;3.635,25;3.674,00;3.674,13;3.632,00;3,84K;-1,02%
05.04.2021;3.672,75;3.661,70;3.676,08;3.631,29;4,39K;0,51%
02.04.2021;3.654,20;3.661,70;3.662,06;3.653,71;0,31K;0,00%
01.04.2021;3.654,20;3.661,70;3.665,35;3.652,63;0,45K;-0,13%
31.03.2021;3.658,95;3.730,00;3.730,38;3.659,50;0,94K;-1,83%
30.03.2021;3.727,25;3.718,99;3.755,00;3.713,65;1,07K;0,30%
29.03.2021;3.716,24;3.689,89;3.719,50;3.689,89;0,99K;0,79%
26.03.2021;3.687,14;3.668,00;3.690,60;3.640,00;4,88K;0,60%
25.03.2021;3.665,25;3.649,40;3.669,49;3.645,10;5,32K;0,51%
24.03.2021;3.646,65;3.619,50;3.650,50;3.608,49;5,29K;0,83%
23.03.2021;3.616,75;3.559,40;3.620,40;3.553,94;5,63K;1,67%
22.03.2021;3.557,40;3.558,90;3.570,00;3.554,65;0,92K;0,01%
19.03.2021;3.556,90;3.547,10;3.568,30;3.538,03;4,90K;0,33%
18.03.2021;3.545,10;3.571,00;3.595,00;3.538,55;5,88K;-0,68%
17.03.2021;3.569,25;3.559,50;3.583,51;3.557,98;4,80K;0,32%
16.03.2021;3.557,75;3.559,00;3.567,77;3.540,26;5,40K;0,11%
15.03.2021;3.554,00;3.576,00;3.591,25;3.556,14;4,52K;-0,55%
12.03.2021;3.573,50;3.556,00;3.589,88;3.548,57;5,53K;0,56%
11.03.2021;3.553,50;3.552,75;3.557,06;3.515,68;6,41K;0,07%
10.03.2021;3.551,00;3.592,50;3.594,26;3.545,38;5,65K;-1,11%
09.03.2021;3.590,75;3.604,70;3.611,93;3.587,20;5,53K;-0,34%
08.03.2021;3.602,95;3.635,15;3.661,85;3.600,88;5,56K;-0,84%
05.03.2021;3.633,40;3.644,90;3.671,56;3.614,50;6,27K;-0,27%
04.03.2021;3.643,15;3.681,09;3.681,72;3.621,50;5,94K;-0,98%
03.03.2021;3.679,34;3.656,50;3.682,06;3.651,59;6,15K;0,68%
02.03.2021;3.654,50;3.619,50;3.662,38;3.616,96;5,64K;1,01%
01.03.2021;3.618,00;3.647,00;3.648,02;3.602,50;5,68K;-0,73%
26.02.2021;3.644,50;3.610,45;3.651,95;3.603,40;5,12K;1,01%
25.02.2021;3.607,95;3.565,00;3.612,03;3.564,00;4,84K;1,28%
24.02.2021;3.562,50;3.594,50;3.594,50;3.562,00;5,18K;-0,82%
23.02.2021;3.592,00;3.593,50;3.598,74;3.582,03;4,89K;0,03%
22.02.2021;3.591,00;3.571,80;3.624,50;3.566,40;5,23K;0,61%
19.02.2021;3.569,30;3.547,33;3.579,00;3.532,00;6,31K;0,69%
18.02.2021;3.544,83;3.528,20;3.549,35;3.516,10;6,02K;0,54%
17.02.2021;3.525,70;3.523,50;3.566,85;3.517,48;4,81K;0,15%
16.02.2021;3.520,45;3.496,50;3.531,00;3.487,76;5,16K;0,90%
15.02.2021;3.489,00;3.496,50;3.504,13;3.481,90;3,57K;-0,16%
12.02.2021;3.494,50;3.526,50;3.540,64;3.496,00;5,73K;-0,85%
11.02.2021;3.524,50;3.559,50;3.561,47;3.517,50;5,36K;-0,93%
10.02.2021;3.557,75;3.576,30;3.586,50;3.541,00;6,05K;-0,47%
09.02.2021;3.574,55;3.571,00;3.597,95;3.561,68;5,96K;0,15%
08.02.2021;3.569,25;3.555,50;3.575,50;3.538,77;4,89K;0,44%
05.02.2021;3.553,75;3.558,19;3.567,14;3.531,10;5,23K;-0,08%
04.02.2021;3.556,44;3.535,71;3.577,41;3.525,87;5,18K;0,64%
03.02.2021;3.533,83;3.529,21;3.545,27;3.510,00;4,86K;0,18%
02.02.2021;3.527,33;3.573,00;3.573,00;3.507,50;5,47K;-1,23%
01.02.2021;3.571,13;3.569,00;3.584,71;3.540,00;4,84K;0,10%
29.01.2021;3.567,63;3.560,00;3.580,54;3.538,71;4,48K;0,25%
28.01.2021;3.558,63;3.606,00;3.633,23;3.554,83;4,32K;-1,26%
27.01.2021;3.604,13;3.613,50;3.665,91;3.605,68;5,37K;-0,21%
26.01.2021;3.611,63;3.588,00;3.614,70;3.560,05;5,09K;0,72%
25.01.2021;3.585,88;3.527,71;3.616,66;3.527,71;5,09K;1,71%
22.01.2021;3.525,58;3.481,78;3.537,05;3.477,48;4,42K;1,32%
21.01.2021;3.479,66;3.467,00;3.492,60;3.450,00;4,74K;0,43%
20.01.2021;3.464,88;3.491,66;3.496,00;3.463,49;3,77K;-0,71%
19.01.2021;3.489,53;3.478,00;3.508,69;3.451,05;4,73K;0,39%
18.01.2021;3.475,88;3.462,10;3.482,84;3.461,54;0,67K;0,46%
15.01.2021;3.459,98;3.446,44;3.480,30;3.446,44;4,60K;0,45%
14.01.2021;3.444,31;3.476,94;3.484,40;3.445,78;4,48K;-0,87%
13.01.2021;3.474,69;3.477,00;3.497,79;3.463,21;4,81K;0,00%
12.01.2021;3.474,75;3.501,00;3.504,58;3.462,60;4,10K;-0,50%
11.01.2021;3.492,25;3.468,90;3.525,82;3.464,77;3,65K;0,75%
08.01.2021;3.466,40;3.489,99;3.500,01;3.465,01;5,33K;-0,59%
07.01.2021;3.486,99;3.414,55;3.495,70;3.411,84;7,74K;2,19%
06.01.2021;3.412,30;3.444,00;3.444,63;3.409,75;8,39K;-0,84%
05.01.2021;3.441,25;3.449,50;3.470,02;3.429,73;7,60K;-0,18%
04.01.2021;3.447,50;3.422,00;3.453,62;3.379,71;7,36K;0,97%
01.01.2021;3.414,50;3.422,00;3.422,00;3.422,00;;0,00%
31.12.2020;3.414,50;3.422,00;3.436,47;3.412,51;0,62K;-0,15%
30.12.2020;3.419,50;3.474,50;3.475,16;3.413,88;0,96K;-1,51%
29.12.2020;3.472,00;3.500,00;3.508,23;3.471,10;1,13K;-0,69%
28.12.2020;3.496,25;3.515,00;3.515,75;3.480,00;1,08K;-0,47%
25.12.2020;3.512,75;3.515,00;3.515,00;3.515,00;;0,00%
24.12.2020;3.512,75;3.500,00;3.521,64;3.479,75;0,98K;0,43%
23.12.2020;3.497,75;3.465,00;3.502,45;3.455,00;1,24K;1,01%
22.12.2020;3.462,75;3.431,00;3.466,00;3.423,90;7,34K;0,99%
21.12.2020;3.428,75;3.419,50;3.474,80;3.419,50;1,06K;0,34%
18.12.2020;3.417,25;3.414,10;3.427,95;3.410,82;6,33K;0,16%
17.12.2020;3.411,85;3.420,61;3.421,70;3.399,80;5,91K;-0,18%
16.12.2020;3.418,11;3.419,70;3.423,92;3.404,93;6,65K;0,03%
15.12.2020;3.417,20;3.428,00;3.435,85;3.414,15;6,61K;-0,24%
14.12.2020;3.425,50;3.438,10;3.439,50;3.409,00;4,73K;-0,29%
11.12.2020;3.435,60;3.420,45;3.441,95;3.416,55;6,62K;0,52%
10.12.2020;3.417,95;3.476,50;3.483,00;3.418,50;8,58K;-1,61%
09.12.2020;3.474,00;3.490,50;3.496,18;3.453,70;6,81K;-0,42%
08.12.2020;3.488,50;3.490,00;3.501,03;3.480,53;4,00K;0,01%
07.12.2020;3.488,00;3.466,00;3.496,09;3.466,00;7,36K;0,69%
04.12.2020;3.464,00;3.468,50;3.478,00;3.451,00;8,08K;-0,07%
03.12.2020;3.466,50;3.522,02;3.526,48;3.468,50;8,84K;-1,52%
02.12.2020;3.520,02;3.548,50;3.564,38;3.521,70;9,55K;-0,75%
01.12.2020;3.546,50;3.596,25;3.597,58;3.540,60;7,73K;-1,33%
30.11.2020;3.594,25;3.606,90;3.613,24;3.580,39;9,02K;-0,30%
27.11.2020;3.604,90;3.617,70;3.628,50;3.604,10;5,82K;-0,30%
26.11.2020;3.615,70;3.617,70;3.628,63;3.608,03;8,59K;0,00%
25.11.2020;3.615,70;3.636,00;3.647,00;3.611,34;7,51K;-0,50%
24.11.2020;3.634,00;3.647,55;3.656,07;3.629,25;7,83K;-0,32%
23.11.2020;3.645,55;3.632,95;3.649,22;3.611,00;8,22K;0,40%
20.11.2020;3.630,95;3.649,95;3.665,13;3.628,50;7,82K;-0,47%
19.11.2020;3.647,95;3.643,50;3.659,13;3.637,90;8,07K;0,18%
18.11.2020;3.641,50;3.644,50;3.659,51;3.623,69;7,27K;-0,03%
17.11.2020;3.642,50;3.644,40;3.652,90;3.617,65;8,24K;0,19%
16.11.2020;3.635,65;3.643,40;3.648,17;3.630,28;4,45K;-0,14%
13.11.2020;3.640,90;3.644,05;3.651,00;3.630,68;7,61K;-0,02%
12.11.2020;3.641,55;3.639,00;3.667,45;3.632,00;7,95K;0,21%
11.11.2020;3.634,00;3.631,50;3.646,47;3.623,81;0,73K;0,17%
10.11.2020;3.627,75;3.649,21;3.673,50;3.625,90;8,28K;-0,53%
09.11.2020;3.647,08;3.723,00;3.723,93;3.622,50;7,99K;-1,98%
06.11.2020;3.720,75;3.754,00;3.775,00;3.719,15;8,60K;-0,83%
05.11.2020;3.751,75;3.815,82;3.819,03;3.752,00;8,80K;-1,62%
04.11.2020;3.813,57;3.819,50;3.825,50;3.787,00;8,17K;-0,10%
03.11.2020;3.817,50;3.869,35;3.872,23;3.811,00;6,76K;-1,18%
02.11.2020;3.863,10;3.870,35;3.882,79;3.860,03;6,23K;-0,15%
30.10.2020;3.868,85;3.861,25;3.873,50;3.846,97;6,97K;0,24%
29.10.2020;3.859,75;3.830,00;3.866,00;3.828,92;3,69K;0,82%
28.10.2020;3.828,50;3.809,60;3.854,90;3.805,70;7,53K;0,55%
27.10.2020;3.807,60;3.814,85;3.820,15;3.797,88;6,35K;-0,14%
26.10.2020;3.812,85;3.789,50;3.818,77;3.783,89;5,16K;0,67%
23.10.2020;3.787,50;3.784,00;3.793,49;3.770,00;5,84K;0,15%
22.10.2020;3.782,00;3.766,50;3.795,90;3.754,50;6,38K;0,46%
21.10.2020;3.764,50;3.825,00;3.829,00;3.763,95;7,10K;-1,53%
20.10.2020;3.823,00;3.844,75;3.847,43;3.816,70;6,62K;-0,51%
19.10.2020;3.842,75;3.848,10;3.849,88;3.834,50;5,76K;-0,09%
16.10.2020;3.846,10;3.850,25;3.852,00;3.827,68;3,03K;-0,06%
15.10.2020;3.848,25;3.839,00;3.862,74;3.837,11;3,22K;0,29%
14.10.2020;3.837,00;3.862,00;3.863,02;3.835,00;1,21K;-0,60%
13.10.2020;3.860,00;3.828,00;3.864,02;3.825,92;3,34K;0,95%
12.10.2020;3.823,50;3.828,00;3.834,86;3.825,85;0,90K;0,00%
09.10.2020;3.823,50;3.839,50;3.839,90;3.814,95;4,07K;-0,37%
08.10.2020;3.837,75;3.844,20;3.848,80;3.830,72;3,62K;-0,12%
07.10.2020;3.842,45;3.833,00;3.850,00;3.808,88;4,31K;0,29%
06.10.2020;3.831,25;3.829,59;3.845,50;3.807,03;5,08K;0,09%
05.10.2020;3.827,84;3.872,00;3.878,24;3.827,38;4,92K;-1,08%
02.10.2020;3.869,75;3.845,50;3.905,45;3.845,50;5,42K;0,69%
01.10.2020;3.843,25;3.827,00;3.858,50;3.797,32;4,77K;0,47%
30.09.2020;3.825,25;3.886,95;3.907,00;3.826,81;4,77K;-1,54%
29.09.2020;3.885,20;3.873,00;3.896,85;3.859,17;5,21K;0,36%
28.09.2020;3.871,25;3.887,00;3.887,47;3.830,20;4,34K;-0,35%
25.09.2020;3.885,00;3.827,00;3.893,85;3.824,43;5,20K;1,57%
24.09.2020;3.825,00;3.862,18;3.908,32;3.826,38;6,79K;-0,75%
23.09.2020;3.853,75;3.827,65;3.875,10;3.823,91;6,65K;0,90%
22.09.2020;3.819,34;3.789,50;3.841,65;3.777,77;5,11K;1,03%
21.09.2020;3.780,23;3.730,00;3.802,48;3.728,10;4,35K;1,38%
18.09.2020;3.728,88;3.715,11;3.739,00;3.710,59;4,20K;0,41%
17.09.2020;3.713,80;3.687,50;3.729,00;3.686,00;4,83K;0,75%
16.09.2020;3.686,31;3.700,10;3.720,08;3.680,16;5,11K;-0,07%
15.09.2020;3.689,00;3.691,91;3.704,26;3.668,11;4,61K;0,00%
14.09.2020;3.689,13;3.705,50;3.723,50;3.667,00;4,60K;-0,44%
11.09.2020;3.705,51;3.710,11;3.726,11;3.688,01;7,25K;-0,12%
10.09.2020;3.710,11;3.713,91;3.716,66;3.675,01;7,12K;-0,01%
09.09.2020;3.710,65;3.742,69;3.742,69;3.710,65;6,71K;-0,74%
08.09.2020;3.738,50;3.711,50;3.772,86;3.711,50;3,86K;0,63%
07.09.2020;3.715,00;3.718,38;3.719,12;3.715,00;0,01K;0,00%
04.09.2020;3.715,01;3.691,11;3.723,01;3.671,22;7,05K;0,65%
03.09.2020;3.691,00;3.659,22;3.697,80;3.621,52;8,23K;0,93%
02.09.2020;3.657,00;3.678,75;3.690,77;3.641,14;8,06K;-0,51%
01.09.2020;3.675,85;3.745,11;3.745,21;3.667,41;7,77K;-1,74%
31.08.2020;3.741,00;3.745,29;3.766,49;3.726,93;8,80K;-0,12%
28.08.2020;3.745,50;3.816,43;3.836,74;3.739,30;8,11K;-1,85%
27.08.2020;3.816,00;3.839,64;3.849,54;3.804,92;8,04K;-0,51%
26.08.2020;3.835,55;3.871,54;3.884,84;3.831,13;9,03K;-0,76%
25.08.2020;3.865,00;3.855,67;3.887,42;3.834,49;7,89K;0,26%
24.08.2020;3.855,00;3.834,81;3.857,81;3.808,06;9,09K;0,50%
21.08.2020;3.836,00;3.804,00;3.848,18;3.791,52;8,56K;0,84%
20.08.2020;3.804,00;3.755,84;3.804,00;3.755,84;6,94K;1,25%
19.08.2020;3.757,00;3.783,92;3.794,94;3.754,42;8,79K;-0,74%
18.08.2020;3.785,00;3.781,34;3.791,47;3.768,34;9,40K;-0,21%
17.08.2020;3.793,00;3.803,00;3.805,90;3.784,32;4,08K;0,00%
14.08.2020;3.793,00;3.772,00;3.796,88;3.765,10;7,60K;0,66%
13.08.2020;3.768,17;3.761,69;3.780,39;3.749,27;8,33K;0,32%
12.08.2020;3.756,00;3.741,24;3.761,89;3.733,76;8,92K;0,45%
11.08.2020;3.739,17;3.782,24;3.782,24;3.739,17;7,85K;-0,87%
10.08.2020;3.772,07;3.746,78;3.786,68;3.743,22;8,15K;0,78%
07.08.2020;3.743,00;3.743,94;3.768,19;3.742,19;5,62K;0,00%
06.08.2020;3.743,00;3.775,50;3.788,75;3.737,00;7,79K;-0,87%
05.08.2020;3.776,00;3.780,52;3.786,20;3.757,42;8,11K;-0,13%
04.08.2020;3.781,01;3.768,90;3.802,31;3.761,38;6,62K;0,40%
03.08.2020;3.765,83;3.737,48;3.777,10;3.729,02;6,46K;0,87%
31.07.2020;3.733,33;3.721,10;3.738,50;3.716,31;7,90K;0,29%
30.07.2020;3.722,50;3.705,40;3.751,90;3.698,21;8,22K;0,44%
29.07.2020;3.706,01;3.724,31;3.726,30;3.696,26;8,71K;-0,48%
28.07.2020;3.724,01;3.674,86;3.739,01;3.669,16;8,81K;1,36%
27.07.2020;3.674,17;3.698,37;3.698,52;3.673,67;8,43K;-0,54%
24.07.2020;3.694,00;3.668,70;3.703,47;3.660,69;7,20K;0,77%
23.07.2020;3.665,69;3.640,11;3.673,03;3.634,43;8,36K;0,79%
22.07.2020;3.637,00;3.622,28;3.639,72;3.615,84;7,88K;0,39%
21.07.2020;3.623,01;3.651,90;3.651,90;3.612,81;7,58K;-0,74%
20.07.2020;3.650,07;3.657,87;3.663,47;3.648,66;3,23K;-0,08%
17.07.2020;3.653,10;3.644,50;3.666,00;3.635,52;3,48K;0,34%
16.07.2020;3.640,72;3.626,79;3.648,01;3.620,55;2,30K;0,55%
15.07.2020;3.620,80;3.627,69;3.628,04;3.602,92;0,69K;-0,09%
14.07.2020;3.624,00;3.619,11;3.648,04;3.612,87;7,38K;0,18%
13.07.2020;3.617,48;3.613,39;3.626,59;3.609,39;7,25K;0,21%
10.07.2020;3.610,00;3.623,20;3.627,24;3.604,50;6,74K;-0,30%
09.07.2020;3.620,74;3.645,12;3.650,70;3.620,74;7,26K;-0,48%
08.07.2020;3.638,26;3.629,31;3.646,53;3.619,47;7,06K;0,34%
07.07.2020;3.626,01;3.632,34;3.649,26;3.622,45;7,55K;-0,30%
06.07.2020;3.637,01;3.645,31;3.645,31;3.611,87;6,93K;-0,36%
03.07.2020;3.650,05;3.648,74;3.658,56;3.638,10;8,66K;0,12%
02.07.2020;3.645,50;3.713,25;3.715,99;3.642,25;8,59K;-1,86%
01.07.2020;3.714,50;3.755,98;3.760,23;3.711,63;7,95K;-1,08%
30.06.2020;3.755,16;3.750,34;3.786,87;3.734,24;7,01K;0,07%
29.06.2020;3.752,66;3.753,99;3.764,69;3.746,24;6,95K;0,04%
26.06.2020;3.751,00;3.732,00;3.771,00;3.725,60;7,54K;0,52%
25.06.2020;3.731,50;3.726,88;3.741,57;3.723,48;8,09K;0,08%
24.06.2020;3.728,51;3.699,64;3.729,65;3.699,64;8,15K;0,77%
23.06.2020;3.700,00;3.727,65;3.727,70;3.693,23;7,90K;-0,74%
22.06.2020;3.727,50;3.744,75;3.748,99;3.722,75;4,72K;-0,55%
19.06.2020;3.748,00;3.751,20;3.754,95;3.708,90;0,70K;-0,20%
18.06.2020;3.755,37;3.757,48;3.788,37;3.751,33;9,87K;0,20%
17.06.2020;3.747,79;3.750,54;3.768,24;3.726,74;4,40K;0,02%
16.06.2020;3.747,00;3.775,46;3.775,46;3.718,96;8,10K;-0,86%
15.06.2020;3.779,43;3.780,92;3.792,42;3.776,31;6,63K;0,02%
12.06.2020;3.778,50;3.773,00;3.782,67;3.737,80;7,08K;0,23%
11.06.2020;3.769,89;3.676,82;3.777,86;3.670,64;9,00K;2,67%
